"ScanID","PFT","PFT_2","PFT_3","PFT_4","Freq1","Freq2","Freq3","area","450","520","630","770","1550","2090"
"empnig_Brooks001","empnig","Empetrum nigrum","Dwarf_Shrub_Needle","Dwarf Shrub",12,21,992,"Brooks_Range",0.033012,0.070965,0.07449,0.574154,0.207653,0.122217
"empnig_Brooks002","empnig","Empetrum nigrum","Dwarf_Shrub_Needle","Dwarf Shrub",12,21,992,"Brooks_Range",0.024644,0.069432,0.063437,0.569364,0.195696,0.11157
"empnig_Brooks003","empnig","Empetrum nigrum","Dwarf_Shrub_Needle","Dwarf Shrub",12,21,992,"Brooks_Range",0.026089,0.071571,0.074503,0.449884,0.160422,0.094005
"empnig_Brooks004","empnig","Empetrum nigrum","Dwarf_Shrub_Needle","Dwarf Shrub",12,21,992,"Brooks_Range",0.025894,0.050664,0.083672,0.426079,0.163775,0.101264
"16","castet","Cassiope tetragona","Dwarf_Shrub_Needle","Dwarf Shrub",9,21,992,"12mile",0.035355,0.054554,0.047025,0.365259,0.213403,0.125067
"17","castet","Cassiope tetragona","Dwarf_Shrub_Needle","Dwarf Shrub",9,21,992,"12mile",0.055177,0.105607,0.082494,0.706491,0.329956,0.197706
"18","castet","Cassiope tetragona","Dwarf_Shrub_Needle","Dwarf Shrub",9,21,992,"12mile",0.054619,0.082139,0.081054,0.504818,0.278875,0.163178
"19","castet","Cassiope tetragona","Dwarf_Shrub_Needle","Dwarf Shrub",9,21,992,"12mile",0.057204,0.092798,0.08227,0.593311,0.32918,0.198689
"20","castet","Cassiope tetragona","Dwarf_Shrub_Needle","Dwarf Shrub",9,21,992,"12mile",0.051194,0.087903,0.066402,0.676449,0.331226,0.192276
"21","castet","Cassiope tetragona","Dwarf_Shrub_Needle","Dwarf Shrub",9,21,992,"12mile",0.052544,0.084248,0.075996,0.578113,0.292966,0.170136
"22","castet","Cassiope tetragona","Dwarf_Shrub_Needle","Dwarf Shrub",9,21,992,"12mile",0.051188,0.093108,0.074405,0.650842,0.333673,0.194838
"23","castet","Cassiope tetragona","Dwarf_Shrub_Needle","Dwarf Shrub",9,21,992,"12mile",0.050558,0.090827,0.07371,0.689744,0.326747,0.187548
