"ScanID","PFT","PFT_2.x","PFT_3.x","PFT_4","color","veg_lifeform_code","group","Freq1","Freq2","Freq3","area","450","520","630","770","1550","2090"
"27","claunc","Cladonia uncialis","Lichen_Yellow","Lichen","yellow","lich_fr",0,10,206,464,"12mile",0.207495,0.251568,0.280479,0.427742,0.333756,0.22597
"29","claunc","Cladonia uncialis","Lichen_Yellow","Lichen","yellow","lich_fr",0,10,206,464,"12mile",0.229635,0.266857,0.286217,0.375003,0.242723,0.155948
"26","claunc","Cladonia uncialis","Lichen_Yellow","Lichen","yellow","lich_fr",0,10,206,464,"12mile",0.163723,0.209076,0.245645,0.355154,0.260232,0.163509
"claunc_Brooks004","claunc","Cladonia uncialis","Lichen_Yellow","Lichen","yellow","lich_fr",0,10,206,464,"Brooks_Range",0.086181,0.114017,0.151346,0.279832,0.268323,0.185507
"25","claunc","Cladonia uncialis","Lichen_Yellow","Lichen","yellow","lich_fr",0,10,206,464,"12mile",0.149436,0.191673,0.22368,0.369966,0.308926,0.203325
"28","claunc","Cladonia uncialis","Lichen_Yellow","Lichen","yellow","lich_fr",0,10,206,464,"12mile",0.153609,0.192493,0.223958,0.361041,0.264435,0.173299
"30","claunc","Cladonia uncialis","Lichen_Yellow","Lichen","yellow","lich_fr",0,10,206,464,"12mile",0.413626,0.480581,0.510764,0.652638,0.399382,0.258578
"33","dacarc","Dactylina arctica","Lichen_Yellow","Lichen","yellow","lich_fr",0,7,206,464,"12mile",0.224034,0.326887,0.442873,0.62599,0.627868,0.399478
"34","dacarc","Dactylina arctica","Lichen_Yellow","Lichen","yellow","lich_fr",0,7,206,464,"12mile",0.185748,0.252483,0.369418,0.782215,0.716879,0.464224
"35","dacarc","Dactylina arctica","Lichen_Yellow","Lichen","yellow","lich_fr",0,7,206,464,"12mile",0.28736,0.41054,0.505408,0.834822,0.657985,0.422815
"32","dacarc","Dactylina arctica","Lichen_Yellow","Lichen","yellow","lich_fr",0,7,206,464,"12mile",0.278252,0.371654,0.431053,0.803266,0.625141,0.397359
"36","dacarc","Dactylina arctica","Lichen_Yellow","Lichen","yellow","lich_fr",0,7,206,464,"12mile",0.251886,0.365898,0.47676,0.763551,0.628113,0.422107
"37","dacarc","Dactylina arctica","Lichen_Yellow","Lichen","yellow","lich_fr",0,7,206,464,"12mile",0.191195,0.278444,0.3731,0.510918,0.435918,0.302015
"31","dacarc","Dactylina arctica","Lichen_Yellow","Lichen","yellow","lich_fr",0,7,206,464,"12mile",0.213226,0.2954,0.413365,0.750395,0.66883,0.436709
"evemis_AK2018_04","evemes","Evernia mesomorpha","Lichen_Yellow","Lichen","yellow","lich_fr",0,20,206,464,"AK2018",0.182565,0.260924,0.303404,0.387409,0.447824,0.361614
"45","evemes","Evernia mesomorpha","Lichen_Yellow","Lichen","yellow","lich_fr",0,20,206,464,"Murphy",0.32608,0.397437,0.461068,0.695274,0.640651,0.4567
"26","evemes","Evernia mesomorpha","Lichen_Yellow","Lichen","yellow","lich_fr",0,20,206,464,"Big Trail",0.144865,0.164517,0.163667,0.287026,0.291363,0.268985
"27","evemes","Evernia mesomorpha","Lichen_Yellow","Lichen","yellow","lich_fr",0,20,206,464,"Big Trail",0.230024,0.276046,0.275391,0.255694,0.402452,0.318778
"33","evemes","Evernia mesomorpha","Lichen_Yellow","Lichen","yellow","lich_fr",0,20,206,464,"Big Trail",0.319253,0.409462,0.408324,0.689503,0.593885,0.434436
"evemis_AK2018_03","evemes","Evernia mesomorpha","Lichen_Yellow","Lichen","yellow","lich_fr",0,20,206,464,"AK2018",0.177205,0.249091,0.285282,0.444152,0.530531,0.455492
"28","evemes","Evernia mesomorpha","Lichen_Yellow","Lichen","yellow","lich_fr",0,20,206,464,"Big Trail",0.225962,0.2898,0.323759,0.479218,0.50219,0.386516
"31","evemes","Evernia mesomorpha","Lichen_Yellow","Lichen","yellow","lich_fr",0,20,206,464,"Big Trail",0.349114,0.447695,0.444088,0.751019,0.62515,0.446358
