"ScanID","PFT","PFT_2.x","PFT_3.x","PFT_4","color","veg_lifeform_code","group","Freq1","Freq2","Freq3","area","NDVI","NDWI","NDMI","NDSI","NBR","EVI"
"parsul_AK2018_03","parsul","Parmelis sulcata","Lichen_Light","Lichen","white","lich_fo",0,12,90,464,"AK2018",0.124718265013344,-0.187456090651558,-0.0795035311478865,-0.263039434332638,0.046426633736199,0.143970014128149
"parsul_AK2018_04","parsul","Parmelis sulcata","Lichen_Light","Lichen","white","lich_fo",0,12,90,464,"AK2018",0.100390904627516,-0.158028216788871,-0.142793745611461,-0.294183580182215,-0.078032045595497,0.115616467210348
"parsul_AK2018_02","parsul","Parmelis sulcata","Lichen_Light","Lichen","white","lich_fo",0,12,90,464,"AK2018",0.250650419891322,-0.274501413744788,-0.0128745324436658,-0.286363913964225,0.113404479887416,0.331620982183705
"84","parsul","Parmelis sulcata","Lichen_Light","Lichen","white","lich_fo",0,12,90,464,"Murphy",0.0827723775860277,-0.124526366577929,0.0575253881801582,-0.0674843979953244,0.216906324764792,0.1812874984346
"83","parsul","Parmelis sulcata","Lichen_Light","Lichen","white","lich_fo",0,12,90,464,"Murphy",0.179491621224149,-0.215088896738491,0.0856216735100448,-0.131896260545068,0.247118536533784,0.324461506725537
"81","parsul","Parmelis sulcata","Lichen_Light","Lichen","white","lich_fo",0,12,90,464,"Murphy",0.0828718482209562,-0.12246040358806,-0.10662635947925,-0.226134016559761,0.0234966423302807,0.10607799988889
"80","parsul","Parmelis sulcata","Lichen_Light","Lichen","white","lich_fo",0,12,90,464,"Murphy",0.163136164234309,-0.188931515842475,-0.0159780135547502,-0.204292820380114,0.139512444504994,0.212061296027461
"79","parsul","Parmelis sulcata","Lichen_Light","Lichen","white","lich_fo",0,12,90,464,"Murphy",0.141960534740985,-0.171573030669907,0.0802295755843264,-0.0926183683609573,0.244860934804977,0.260754944712522
"parsul_AK2018_01","parsul","Parmelis sulcata","Lichen_Light","Lichen","white","lich_fo",0,12,90,464,"AK2018",0.0805168089214501,-0.135469801839386,-0.0652176882562888,-0.198929938655966,0.012887551618926,0.0799100251084391
"78","parsul","Parmelis sulcata","Lichen_Light","Lichen","white","lich_fo",0,12,90,464,"Murphy",0.175019356193326,-0.211138852411896,0.0291648428063918,-0.183101517889242,0.203858693825418,0.266190139901011
"stepas_Brooks003","stepas","Stereocaulon sp.","Lichen_Light","Lichen","white","lich_fr",0,8,90,464,"Brooks_Range",0.242911487592339,-0.283062161629941,0.0359478818504731,-0.249654636827289,0.173919628169308,0.322428651321728
"stepas_Brooks004","stepas","Stereocaulon sp.","Lichen_Light","Lichen","white","lich_fr",0,8,90,464,"Brooks_Range",0.27009892678832,-0.312215110728644,0.0182129764033382,-0.295683499052501,0.192199272518485,0.30971006501283
"stepas_Brooks001","stepas","Stereocaulon sp.","Lichen_Light","Lichen","white","lich_fr",0,8,90,464,"Brooks_Range",0.262248077166278,-0.309368545082456,0.0297911933923241,-0.282178033730567,0.195164113594998,0.229985904785718
"stepas_Brooks002","stepas","Stereocaulon sp.","Lichen_Light","Lichen","white","lich_fr",0,8,90,464,"Brooks_Range",0.283132083970031,-0.316270776482262,0.0487627707018173,-0.271698200459794,0.211336256529748,0.352192249871588
"110","tragra","Trapelopsis granulosa","Lichen_Light","Lichen","gray","lich_cr",0,5,90,464,"Murphy",0.28013902619744,-0.379469557964971,-0.0900296210877497,-0.453989314859391,0.105261469704584,0.226803789515336
"108","tragra","Trapelopsis granulosa","Lichen_Light","Lichen","gray","lich_cr",0,5,90,464,"Murphy",0.12269906719331,-0.264306284410302,-0.0830652154609706,-0.339908915718408,0.0390483418450633,0.133471310933991
"112","tragra","Trapelopsis granulosa","Lichen_Light","Lichen","gray","lich_cr",0,5,90,464,"Murphy",0.275489978074423,-0.384270059449823,-0.12789040020926,-0.488169630820005,0.07040851748625,0.195610955938428
"111","tragra","Trapelopsis granulosa","Lichen_Light","Lichen","gray","lich_cr",0,5,90,464,"Murphy",0.300055986637239,-0.417722285434605,-0.212445166986672,-0.578802716271532,-0.0346462536419109,0.224400554072025
"109","tragra","Trapelopsis granulosa","Lichen_Light","Lichen","gray","lich_cr",0,5,90,464,"Murphy",0.374550250896057,-0.474165363812935,0.00654604826639752,-0.469075282706029,0.192803581488213,0.42168025949475
"3","aleoch","Alectoria ochroleuca","Lichen_Yellow","Lichen","yellow","lich_fr",0,6,206,464,"Murphy",0.224215083973896,-0.289737808458083,-0.143202012508943,-0.41569231560686,0.0267528466212535,0.12855243002341
"5","aleoch","Alectoria ochroleuca","Lichen_Yellow","Lichen","yellow","lich_fr",0,6,206,464,"Murphy",0.181502131373383,-0.242230231239845,0.0558571624245647,-0.188929338187249,0.239000370625298,0.148304916180671
