Site,Measurement_Date,Spectra_Name,Sample_ID,USDA_Species_Code,Spectrometer_GPS_Lat,Spectrometer_GPS_Long,Measurement_Time_UTC,Instrument,Foreoptic,Collection_Units,Spectra_Units,Spectra_Type,Reflectance_Type,White_Reference_Standard,Spectral_Resolution,Interpolation_Method,Overlap_Handling,Overlap_Removal,Overlap_Matching_Type
Barrow (Utqiagvik) Environmental Observatory,20150714,1662,BNL1662,ERAN6,71.27574833,-156.64432,18:55,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150714,1678,BNL1678,CAAQ,71.27576833,-156.6442367,19:42,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150714,1679,BNL1679,CAAQ,71.27575333,-156.6442283,19:57,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150714,1680,BNL1680,ARFU2,71.27519167,-156.6438767,21:29,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150714,1681,BNL1681,ARFU2,71.27519167,-156.6438983,21:34,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150714,1682,BNL1682,CAAQ,71.27575667,-156.6442217,19:53,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150714,1683,BNL1683,ARFU2,71.27563833,-156.6436583,20:41,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150714,1684,BNL1684,ARFU2,71.27519833,-156.6438983,21:48,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150714,1685,BNL1685,ARFU2,71.27519167,-156.6439067,21:42,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150714,1686,BNL1686,ARFU2,71.27564,-156.6436633,20:53,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
